time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
6.581288,5.829,0.6346,-2,0,0,60
6.616322,4.7729,-0.7458,-2,0,0,45.163
6.632768,4.826,-0.6918,-2,0,0,45.8079
6.643581,4.8773,-0.6384,-2,0,0,46.4383
6.652801,4.8773,-0.6384,-2,0,0,46.4383
6.664432,4.9269,-0.5857,-2,0,0,47.0543
6.681118,4.9748,-0.5337,-2,0,0,47.6559
6.697671,4.9748,-0.5337,-2,0,0,47.6559
6.714177,5.021,-0.4825,-2,0,0,48.243
6.731,5.0655,-0.4321,-2,0,0,48.8155
6.747545,5.1085,-0.3826,-2,0,0,49.3736
6.764329,5.1498,-0.3339,-2,0,0,49.9171
6.781194,5.1896,-0.2862,-2,0,0,50.4462
6.797643,5.1896,-0.2862,-2,0,0,50.4462
6.814323,5.2279,-0.2394,-2,0,0,50.9607
6.830991,5.2647,-0.1936,-2,0,0,51.4607
6.847666,5.3,-0.1488,-2,0,0,51.9462
6.864697,5.334,-0.1051,-2,0,0,52.4173
6.881215,5.3665,-0.0625,-2,0,0,52.8739
6.897731,5.3665,-0.0625,-2,0,0,52.8739
6.914395,5.3977,-0.021,-2,0,0,53.3161
6.931029,5.4276,0.0194,-2,0,0,53.7438
6.947749,5.4561,0.0587,-2,0,0,54.1571
6.96432,5.4834,0.0968,-2,0,0,54.5561
6.980982,5.5095,0.1337,-2,0,0,54.9407
6.99777,5.5095,0.1337,-2,0,0,54.9407
7.014174,5.5344,0.1694,-2,0,0,55.311
7.031182,5.5581,0.2038,-2,0,0,55.667
7.047677,5.5806,0.2371,-2,0,0,56.0087
7.06467,5.6021,0.269,-2,0,0,56.3362
7.080984,5.6224,0.2997,-2,0,0,56.6495
7.097695,5.6224,0.2997,-2,0,0,56.6495
7.11419,5.6416,0.3291,-2,0,0,56.9486
7.13099,5.6598,0.3572,-2,0,0,57.2336
7.147629,5.677,0.384,-2,0,0,57.5045
7.164319,5.6931,0.4095,-2,0,0,57.7612
7.181202,5.7083,0.4336,-2,0,0,58.0039
7.197893,5.7083,0.4336,-2,0,0,58.0039
7.214362,5.7224,0.4564,-2,0,0,58.2326
7.231015,5.7357,0.4779,-2,0,0,58.4472
7.247848,5.748,0.498,-2,0,0,58.6479
7.264616,5.7594,0.5168,-2,0,0,58.8346
7.281099,5.7698,0.5341,-2,0,0,59.0074
7.297626,5.7698,0.5341,-2,0,0,59.0074
7.314267,5.7794,0.5502,-2,0,0,59.1663
7.331065,5.7881,0.5648,-2,0,0,59.3112
7.348238,5.796,0.578,-2,0,0,59.4423
7.36431,5.803,0.5899,-2,0,0,59.5596
7.381159,5.8091,0.6004,-2,0,0,59.6629
7.397688,5.8091,0.6004,-2,0,0,59.6629
7.41425,5.8144,0.6095,-2,0,0,59.7525
7.431166,5.8189,0.6172,-2,0,0,59.8283
7.447667,5.8226,0.6235,-2,0,0,59.8902
7.464318,5.8254,0.6283,-2,0,0,59.9383
7.481071,5.8274,0.6318,-2,0,0,59.9727
7.49787,5.8274,0.6318,-2,0,0,59.9727
7.514163,5.8286,0.6339,-2,0,0,59.9932
7.531244,5.829,0.6346,-2,0,0,60
7.54781,5.8286,0.6339,-2,0,0,59.993
7.564318,5.8274,0.6318,-2,0,0,59.9722
7.580986,5.8253,0.6283,-2,0,0,59.9376
7.59766,5.8253,0.6283,-2,0,0,59.9376
7.614242,5.8225,0.6234,-2,0,0,59.8892
7.631045,5.8188,0.617,-2,0,0,59.8271
7.647661,5.8143,0.6093,-2,0,0,59.7511
7.664443,5.809,0.6002,-2,0,0,59.6613
7.681406,5.8029,0.5897,-2,0,0,59.5577
7.697803,5.8029,0.5897,-2,0,0,59.5577
