time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
4.02,5.829,0.6346,-2,0,0,60
4.12,-4.1726,-1.2813,-2,0,0,321.6886
4.22,-2.8537,-2.0959,-2,0,0,334.9143
4.32,-1.1196,-2.637,-2,0,0,350.4247
4.42,0.8071,-2.6822,-2,0,0,6.8873
4.52,2.5931,-2.2112,-2,0,0,22.6602
4.62,3.9875,-1.4225,-2,0,0,36.3291
4.72,4.9273,-0.5853,-2,0,0,47.0596
4.82,5.4837,0.0971,-2,0,0,54.5594
4.92,5.7595,0.5169,-2,0,0,58.8362
5.02,5.8274,0.6318,-2,0,0,59.972
5.12,5.7079,0.433,-2,0,0,57.9978
5.22,5.3657,-0.0636,-2,0,0,52.8623
5.32,4.7165,-0.8018,-2,0,0,44.4866
5.42,3.6578,-1.6501,-2,0,0,32.9183
5.52,2.1441,-2.3801,-2,0,0,18.575
5.62,0.2888,-2.7246,-2,0,0,2.4588
5.72,-1.6175,-2.5335,-2,0,0,346.0945
5.82,-3.2538,-1.892,-2,0,0,331.0909
5.92,-4.4485,-1.0512,-2,0,0,318.6299
